conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,Klasifikasi
1889308753927053452,Tue Feb 11 13:41:23 +0000 2025,0,Promo spesial di bulan bucin ! Pasang wifi myrepublic sekarang bayar bulan depan GRATIS biaya pemasangan senilai 500Rb. GRATIS kabel 150m Harga dimulai dari 200Ribuan. Tanpa batasan kuota (UNLIMITED). Hubungi kami sekarang untuk info lebih lanjut 082320573829 #karawang,1889308753927053452,,,in,,0,0,0,https://x.com/undefined/status/1889308753927053452,816863826100371456,,Promosi
1887460566903759041,Thu Feb 06 11:17:21 +0000 2025,0,Hallo @ID_MyRepublic Apakah ada gangguan internet untuk wilayah karawang? Dari pagi internet putus (Los merah) sampai saat ini.,1887460566903759041,,,in,,0,1,0,https://x.com/undefined/status/1887460566903759041,86479116,,Negatif
1828686488135254516,Wed Aug 28 06:50:08 +0000 2024,3,Halo! MyRepublic (Member of Sinarmas Group) lagi buka posisi nih untuk Direct Sales Supervisor untuk wilayah Karawang Indramayu Bekasi dan Purwakarta. Kalau ada yang sesuai kriteria silakan mengirim cv ke email yang tertera ya! wrk! https://t.co/7QLezpNxsS,1828686488135254516,https://pbs.twimg.com/media/GWDMqr_akAACcNf.jpg,,in,,0,0,2,https://x.com/undefined/status/1828686488135254516,1244597361826885636,,Positif
1825480371775168850,Mon Aug 19 10:30:11 +0000 2024,5,Halo! MyRepublic (Member of Sinarmas Group) lagi buka posisi nih untuk Direct Sales Supervisor untuk wilayah Karawang Indramayu Bekasi dan Purwakarta. Kalau ada yang sesuai kriteria silakan mengirim cv ke email yang tertera ya! wrk! https://t.co/Mw41DBYxB5,1825480371775168850,https://pbs.twimg.com/media/GVVotGMaQAA_KOY.jpg,,in,,0,0,2,https://x.com/undefined/status/1825480371775168850,1244597361826885636,,Positif
1787467313245212744,Mon May 06 12:59:51 +0000 2024,0,Tolong infokan sales Biznet atau myrepublic wilayah Karawang @IndiHomeCare udah gak bisa diandalkan Cs nya terlalu slow respon.,1787467313245212744,,,in,,0,0,0,https://x.com/undefined/status/1787467313245212744,168107322,,Negatif
1607057384291340288,Sun Dec 25 16:55:12 +0000 2022,0,Halo Rocketers 15 Desember 2022 MyRepublic secara resmi telah hadir di Jambi dan Karawang lhoo Info cek jaringan di kota mu bisa DM atau WhatsApp Mimin yaa 0859102747893 #HolidayShoppingFest https://t.co/2l9O6cRTIn,1607057384291340288,https://pbs.twimg.com/media/Fk1qK4gaYAAssna.jpg,,in,,0,0,0,https://x.com/undefined/status/1607057384291340288,1500838494562033665,,Netral
1605128957015121921,Tue Dec 20 09:12:19 +0000 2022,0,Penghujung Tahun MyRepublic Perluas Area ke Jambi dan Karawang https://t.co/4r8uYZzhBy,1605128957015121921,,,in,,0,0,1,https://x.com/undefined/status/1605128957015121921,238091066,,Netral
1604713904164438016,Mon Dec 19 05:43:03 +0000 2022,0,Akhir Tahun MyRepublic Perluas Layanan Internet ke Jambi dan Karawang #MyRepublic https://t.co/qJVzAeMsMS,1604713904164438016,,,in,,0,0,0,https://x.com/undefined/status/1604713904164438016,79130206,,Netral
1604713150166736897,Mon Dec 19 05:40:03 +0000 2022,1,Director Sales and Marketing MyRepublic Iman Syahrizal menjelaskan pihaknya berkomitmen untuk terus memperluas area cakupan ke seluruh Indonesia https://t.co/yPBl83j0Tk,1604713150166736897,,,in,,0,0,0,https://x.com/undefined/status/1604713150166736897,68930552,,Netral
1604099592978669570,Sat Dec 17 13:02:00 +0000 2022,0,MyRepublic Perluas Area ke Jambi dan Karawang https://t.co/QBKnGTnFAR,1604099592978669570,,,in,,0,0,0,https://x.com/undefined/status/1604099592978669570,38128899,,Netral
1603741258685755395,Fri Dec 16 13:18:06 +0000 2022,0,MyRepublic Perluas Jaringan ke Karawang dan Jambi https://t.co/cSo7F40Vmc https://t.co/jZYZ3FQ70O,1603741258685755395,https://pbs.twimg.com/media/FkGiLPVakAEqNqa.jpg,,in,,0,0,0,https://x.com/undefined/status/1603741258685755395,1173006138574397445,,Netral
1603713558587797505,Fri Dec 16 11:28:02 +0000 2022,0,MyRepublic Perluas Jaringan di Karawang dan Jambi https://t.co/OOxm1UVk95,1603713558587797505,,,in,,0,0,0,https://x.com/undefined/status/1603713558587797505,71489356,,Netral
1603713184774643712,Fri Dec 16 11:26:33 +0000 2022,0,MyRepublic Perluas Jaringan di Karawang dan Jambi,1603713184774643712,,,in,,0,0,0,https://x.com/undefined/status/1603713184774643712,897134521,,Netral
1603607589438488577,Fri Dec 16 04:26:57 +0000 2022,0,MyRepublic Perluas Area Cakupan ke Jambi dan Karawang - https://t.co/srxNm4p3xC | Berita Jambi Digital https://t.co/kvtrphLb1v,1603607589438488577,,,in,,0,0,0,https://x.com/undefined/status/1603607589438488577,209940336,,Netral
1603352335673044992,Thu Dec 15 11:32:40 +0000 2022,0,Di Karawang ditargetkan 7.000 pelanggan baru di Teluk Jambe hingga Nagasari. https://t.co/3DLKr6T76D,1603352335673044992,,,in,,0,0,0,https://x.com/undefined/status/1603352335673044992,22126902,,Netral
1603338590355968000,Thu Dec 15 10:38:03 +0000 2022,0,MyRepublic Perluas Area Cabang ke Jambi dan Karawang https://t.co/UuPmxOuFsS,1603338590355968000,,,in,,0,0,0,https://x.com/undefined/status/1603338590355968000,1233209824650809346,,Netral
1564695804048453632,Tue Aug 30 19:25:24 +0000 2022,0,Hello there im back Kedepannya MyRepublic akan buka di kota-kota berikut ini Banyuwangi Cilegon Jambi Jember Karawang Purwokerto Serang Solo Dan masih banyak lagi Yuk daftar MyRepublic sekarang disini,1564695804048453632,,,in,,0,0,1,https://x.com/undefined/status/1564695804048453632,1327826458606125056,,Netral
1497549524205961219,Sat Feb 26 12:30:04 +0000 2022,0,Rencana daerah perluasan MyRepublic Indonesia - Pekanbaru - Lampung - Serang - Cilegon - Karawang - Solo - Makassar - Labuan Bajo Dll.,1497549524205961219,,,in,,0,0,0,https://x.com/undefined/status/1497549524205961219,1327826458606125056,,Netral
1248220116753321984,Fri Apr 10 12:02:16 +0000 2020,1,@comsenta Karawang belum ada jaringan myrepublic kang.,1248582065420816385,,comsenta,in,,0,0,0,https://x.com/undefined/status/1248582065420816385,44597020,,Netral
1021243746187218944,Mon Jul 23 04:00:57 +0000 2018,0,@MyRepublicID siang min..klo untuk daerah karawang..bisa pasang internet&amp;tv kabel myrepublic?,1021243746187218944,,MyRepublicID,in,,0,1,0,https://x.com/undefined/status/1021243746187218944,856339530315554816,,Netral
