conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,Klasifikasi,Keyword
1872823056722477559,Sat Dec 28 01:53:06 +0000 2024,0,Indihome udah dari subuh error nih daerah duren klari karawang gimana ini ? Lg butuh2 nya malah gangguan. @IndiHomeCare @IndiHome,1872823056722477559,,,in,,0,2,0,https://x.com/undefined/status/1872823056722477559,63802429,,Negatif,gangguan
1870330763482415342,Sat Dec 21 04:49:37 +0000 2024,2,Gokar! Review provider selain Indihome yg ada di Karawang dong.,1870330763482415342,,,in,,0,5,0,https://x.com/undefined/status/1870330763482415342,1622910789224140802,,Negatif,
1809935980839031149,Sun Jul 07 13:13:39 +0000 2024,0,@IndiHomeCare Sudah 2 hari indihome area karawang lemot luar biasa. Youtube saja senat senut bikin emosi,1809938833913581867,,IndiHomeCare,in,,0,2,0,https://x.com/undefined/status/1809938833913581867,1091586252917207040,,Negatif,lemot
1796032068184375380,Thu May 30 04:13:08 +0000 2024,0, Promo Spesial IndiHome untuk Area Purwakarta - Karawang! Hubungi kami untuk informasi lebih lanjut: https://t.co/LSunayY51y #IndiHome #Telkomsel #PromoIndiHome #InternetCepat #Karawang #Purwakarta https://t.co/jV8MppcOQA,1796032068184375380,https://pbs.twimg.com/media/GOzJpGsaIAA9q9p.jpg,,in,,0,0,0,https://x.com/undefined/status/1796032068184375380,1702136142441959424,,Promosi,promo
1792129896690639175,Mon May 20 18:57:20 +0000 2024,1,@elonmusk @Starlink Mas Elon Indihome knpa yaa error di Karawang nih,1792630705047933417,,elonmusk,in,,0,2,0,https://x.com/undefined/status/1792630705047933417,1625956451964567553,,Negatif,error
1771454392434045368,Sat Mar 23 19:29:08 +0000 2024,0,@karawangmf https://t.co/zduHDL4m5N karawang only kesini aja. Khusus Indihome.,1771620214444011820,,karawangmf,in,,0,1,0,https://x.com/undefined/status/1771620214444011820,1186154898,,Negatif,
1759114855049798071,Sun Feb 18 07:17:18 +0000 2024,0,@IndiHome Karawang lagi gangguan ya? Wilayah wadas Telukjambe Timur,1759114855049798071,,IndiHome,in,,0,3,0,https://x.com/undefined/status/1759114855049798071,1169493404687822850,,Negatif,gangguan
1745327270443823143,Thu Jan 11 06:10:22 +0000 2024,0,#SobatTelkom sudah bisa menikmati beragam dampak positif dari Fixed Mobile Convergence. Dengan bergabungnya IndiHome ke Telkomsel hal ini semakin menunjukkan komitmen TelkomGroup dalam memberi pengalaman terbaik bagi para pelanggan. #ElevatingYourFuture #BersamaTLKMLebihMudah https://t.co/xwauVX4RI0,1745327270443823143,https://pbs.twimg.com/media/GDilnwUa8AANehB.jpg,,in,,0,0,0,https://x.com/undefined/status/1745327270443823143,1435102150439235589,,Positif,terbaik
1721931827051651113,Tue Nov 07 16:45:14 +0000 2023,0,@IndiHomeCare HALLOW INDIHOME KNAPA SETIAP JAM SEGINI SELALU GADA ACCES INTERNET HALLAW INI GIMANA YA? WILAYAH KARAWANG TOLONG,1721931827051651113,,IndiHomeCare,in,,0,1,0,https://x.com/undefined/status/1721931827051651113,1708862326584270848,,Negatif,
1715294065259069868,Sat Oct 21 01:12:52 +0000 2023,0,@IndiHomeCare min cek DM. blm ditanggapi dr semalam. sudah bayar tggl 20 kok internet diblokir? kalau di klausul harusnya mulai tggl 21 baru di blokir kalau blm bayar. telp 147 ga direspon. telpin plasa indihome karawang ga ada yg angkat.. gimana ini pelayanannya. ,1715536596542554456,,IndiHomeCare,in,,0,1,0,https://x.com/undefined/status/1715536596542554456,1472785290229993475,,Negatif,
1712526406390002044,Thu Oct 12 18:01:58 +0000 2023,0,@abintang200 Indihome jeng sinyal hilang daerah Karawang kwkw,1712529055701151905,,abintang200,in,,0,1,0,https://x.com/undefined/status/1712529055701151905,1110848520204873728,,Negatif,
1712526406390002044,Thu Oct 12 17:55:19 +0000 2023,1,@abintang200 Karawang ilang jg cuy Indihome gua jg ga connect,1712527380663906513,,abintang200,in,,0,1,0,https://x.com/undefined/status/1712527380663906513,1394719703470252032,,Negatif,
1699250896092471439,Wed Sep 06 02:39:18 +0000 2023,0,Di karawang ada yang bisa pasang indihome ga ya dana under 1 jt kalo bisa yg udh sama paket nya 50mbps..,1699250896092471439,,,in,,0,2,0,https://x.com/undefined/status/1699250896092471439,1588016669313892352,,Negatif,
1686701149456617472,Thu Aug 03 11:15:33 +0000 2023,0,@dsuperboy Pabeulit sama kabel listrik kabel indihome.... tapi tetep indah kan bang? #Karawang https://t.co/fy6QNJG6pP,1687059625458520064,https://pbs.twimg.com/media/F2mjyALa0AAFvXI.jpg,dsuperboy,in,,0,0,0,https://x.com/undefined/status/1687059625458520064,3139505196,,Negatif,
1685257724978966528,Sat Jul 29 11:55:26 +0000 2023,0,@IndiHome @IndiHomeCare inyernet saya d summarecon karawang terputus kenapa ya min?,1685257724978966528,,IndiHome,in,,0,1,0,https://x.com/undefined/status/1685257724978966528,1373895399774162948,,Negatif,
1685215620219183104,Sat Jul 29 09:08:08 +0000 2023,0,@IndiHomeCare @IndiHome indihome karawang jalan baru summarecon offline internetnya kenapa ya ?,1685215620219183104,,IndiHomeCare,in,,0,1,0,https://x.com/undefined/status/1685215620219183104,1373895399774162948,,Negatif,
1682205231835406339,Fri Jul 21 01:45:55 +0000 2023,0,@IndiHomeCare min ada kontak indihome Cikampek karawang ga?? Pengen pasang indihome,1682205231835406339,,IndiHomeCare,in,,0,2,0,https://x.com/undefined/status/1682205231835406339,532269124,,Negatif,
